word,label,sentence
cartoon,A1,I watch a cartoon with my brother.
case,A1,I have a small case for my pencils.
cash,A1,I have cash for the food.
castle,A1,I see a big castle.
cat,A1,I have a cat.
catch,A1,I catch the ball.
cause,A1,The food can cause a pain in my stomach.
cd,A1,I have a cd.
cefr,A1,I study CEFR for my English class.
celebrate,A1,We celebrate my birthday with cake.
celebrity,A1,She is a celebrity.
cent,A1,A cent is one penny.
centre,A1,The book is on the centre of the table.
century,A1,A century is one hundred years.
certain,A1,I am certain this is my book.
certainly,A1,I certainly have one apple.
chair,A1,This is my chair.
chance,A1,I have a chance to eat an apple.
change,A1,I change my shirt.
character,A1,The story has one character.
charity,A1,I give money to charity.
chart,A1,I see a chart on the wall.
chat,A1,I chat with my friend.
cheap,A1,This book is cheap.
check,A1,I check my bag.
cheese,A1,I like cheese.
chef,A1,The chef cooks food.
chemistry,A1,I study chemistry at school.
chicken,A1,I eat chicken for dinner.
child,A1,The child has a red ball.
chip,A1,I eat a chip.
chocolate,A1,I like chocolate.
choice,A1,I have a choice: an apple or a banana.
choose,A1,I choose the red apple.
cinema,A1,I go to the cinema with my family.
city,A1,I live in a big city.
class,A1,I am in my English class.
classroom,A1,I am in the classroom.
clean,A1,I clean my hands.
climb,A1,I climb the tree.
clock,A1,I see a clock on the wall.
clothes,A1,I put my clothes on the bed.
club,A1,I go to the club with my dad.
coat,A1,I put on my coat.
coffee,A1,I drink coffee.
cold,A1,The water is cold.
college,A1,I go to college.
colour,A1,The apple is red in colour.
come,A1,I come to school.
common,A1,Dogs are common pets.
company,A1,My mother is good company.
compare,A1,I compare my apple and your orange.
complete,A1,I complete my homework.
computer,A1,I have a computer.
concert,A1,I go to a concert with my family.
contest,A1,I win the contest.
conversation,A1,I have a conversation with my friend.
cook,A1,I cook rice for my family.
cooking,A1,I like cooking rice.
cool,A1,The water is cool.
correct,A1,This answer is correct.
correspond,A1,This pen does not correspond to that paper.
cost,A1,The apple cost one dollar.
could,A1,I could see the cat.
country,A1,I live in a big country.
course,A1,"Of course, I eat rice."
cousin,A1,I have one cousin.
cow,A1,The cow is big.
cream,A1,I eat cream on my cake.
create,A1,I create a picture for my mother.
culture,A1,I like my family culture.
cup,A1,I have a cup.
customer,A1,The customer is happy.
cut,A1,I cut the apple.
dad,A1,My dad is tall.
dance,A1,I dance with my mother.
dancer,A1,She is a dancer.
dancing,A1,I like dancing with my mother.
dangerous,A1,Fire is dangerous.
dark,A1,The room is dark.
date,A1,The date is today.
daughter,A1,My daughter is small.
day,A1,I see the sun in the day.
dear,A1,My dear mother is kind.
december,A1,December has thirty-one days.
decide,A1,I decide to eat an apple.
definite,A1,I have a definite answer.
delicious,A1,The apple is delicious.
describe,A1,I describe my dog.
description,A1,This is a description of my dog.
design,A1,I design a house.
desk,A1,I have a desk in my room.
detail,A1,Please look at this detail in the picture.
dialogue,A1,We have a dialogue in class.
dictionary,A1,I have a dictionary.
die,A1,My fish can die.
diet,A1,I eat a healthy diet.
difference,A1,I see a difference between the red apple and the green apple.
different,A1,This apple is different from that apple.
difficult,A1,This book is difficult.
dinner,A1,I eat dinner with my family.
dirty,A1,My hands are dirty.
discuss,A1,We discuss the food.
dish,A1,I wash the dish.
doctor,A1,The doctor helps my mother.
dog,A1,I have a dog.
dollar,A1,The dollar is on the table.
door,A1,The door is big.
down,A1,The cat is down.
downstairs,A1,The cat is downstairs.
draw,A1,I draw a picture of my mother.
dress,A1,She has a red dress.
drink,A1,I drink water.
drive,A1,I drive a car.
driver,A1,The driver is my father.
during,A1,I sleep during the night.
dvd,A1,I watch a DVD with my family.
each,A1,Each child has one apple.
ear,A1,I have one ear.
early,A1,I wake up early.
east,A1,The sun rises in the east.
easy,A1,This lesson is easy.
eat,A1,I eat an apple.
egg,A1,I eat an egg for breakfast.
eight,A1,I have eight books.
eighteen,A1,I am eighteen years old.
eighty,A1,My grandmother is eighty years old.
elephant,A1,The elephant is big.
eleven,A1,I have eleven apples.
else,A1,I want something else to eat.
email,A1,I send an email to my friend.
end,A1,The book is at the end of the table.
enjoy,A1,I enjoy my food.
enough,A1,I have enough food.
euro,A1,The euro is my money.
even,A1,I have two apples and even one banana.
evening,A1,I eat dinner in the evening.
event,A1,The party is a fun event.
ever,A1,Have you ever eaten an apple?
every,A1,I eat an apple every day.
everybody,A1,Everybody likes ice cream.
everyone,A1,Everyone has a nose.
everything,A1,I eat everything on my plate.
exam,A1,I have an exam today.
example,A1,This is an example of an apple.
excited,A1,I am excited for my birthday.
exciting,A1,The game is exciting.
exercise,A1,I do exercise every day.
expensive,A1,The bread is expensive.
explain,A1,I explain my answer to the teacher.
extra,A1,I have an extra apple.
eye,A1,I have one eye.
face,A1,I have a face.
fact,A1,It is a fact that I have two hands.
fall,A1,I fall on the floor.
false,A1,The answer is false.
family,A1,I have a big family.
famous,A1,He is a famous singer.
fantastic,A1,The food is fantastic.
far,A1,My school is far from my house.
farm,A1,The farm has a cow.
farmer,A1,The farmer has a cow.
fast,A1,The car is fast.
fat,A1,The cat is fat.
father,A1,My father is a doctor.
favourite,A1,My favourite food is pizza.
february,A1,February has twenty-eight days.
feel,A1,I feel happy.
feeling,A1,I have a good feeling today.
festival,A1,I go to the festival with my family.
few,A1,I have few apples.
fifteen,A1,I have fifteen apples.
fifth,A1,This is my fifth apple.
fifty,A1,I have fifty books.
fill,A1,I fill the cup with water.
film,A1,I like the film.
final,A1,This is my final apple.
find,A1,I find my book.
fine,A1,I am fine.
finish,A1,I finish my homework.
fire,A1,The fire is hot.
first,A1,I eat my first apple.
fish,A1,I eat fish for dinner.
five,A1,I have five apples.
flat,A1,My flat is small.
flight,A1,The bird is in flight.
floor,A1,The book is on the floor.
flower,A1,I see a flower.
fly,A1,Birds fly in the sky.
follow,A1,I follow my mother.
food,A1,I eat food.
foot,A1,I have one foot.
football,A1,I play football with my brother.
for,A1,This is for you.
forget,A1,I forget my book.
form,A1,I form a circle with my hands.
forty,A1,I am forty years old.
four,A1,I have four apples.
fourteen,A1,I have fourteen apples.
fourth,A1,This is my fourth apple.
free,A1,The water is free.
friday,A1,I go to school on Friday.
friend,A1,I have one friend.
friendly,A1,The dog is friendly.
from,A1,I am from Japan.
front,A1,The cat is in front of the door.
fruit,A1,I eat fruit every day.
full,A1,The glass is full of water.
fun,A1,It is fun to play with my dog.
funny,A1,The cat is funny.
future,A1,I have a future with my family.
game,A1,I play a game with my brother.
garden,A1,I see a garden.
geography,A1,I study geography at school.
get,A1,I get a book.
girl,A1,The girl has a red ball.
girlfriend,A1,She is my girlfriend.
give,A1,I give my mother a flower.
glass,A1,I drink water from a glass.
go,A1,I go to school.
good,A1,This food is good.
goodbye,A1,"Goodbye, Mum."
grandfather,A1,My grandfather is old.
grandmother,A1,My grandmother has a blue chair.
grandparent,A1,I have one grandparent.
great,A1,The apple is great.
green,A1,The apple is green.
grey,A1,The cat is grey.
group,A1,We are a group of five.
grow,A1,Flowers grow in the garden.
guess,A1,I guess you are ten years old.
guitar,A1,I have a guitar.
gym,A1,I go to the gym.
hair,A1,I have black hair.
half,A1,I have half an apple.
hand,A1,I have one hand.
happen,A1,Things happen in my family.
happy,A1,I am happy.
hard,A1,The chair is hard.
hat,A1,I have a red hat.
hate,A1,I hate milk.
have,A1,I have a blue pen.
he,A1,He is my father.
head,A1,I have a head.
health,A1,I am in good health.
healthy,A1,I eat healthy food.
hear,A1,I hear the bird.
hello,A1,I say hello to my mother.
help,A1,I help my mother.
her,A1,This is her book.
here,A1,The book is here.
hey,A1,"Hey, this is my brother."
hi,A1,"Hi, I am Tom."
high,A1,The mountain is high.
him,A1,I see him.
his,A1,This is his book.
history,A1,I study history at school.
hobby,A1,I have a hobby.
holiday,A1,I go on holiday with my family.
home,A1,I go home after school.
homework,A1,I do my homework every day.
hope,A1,I hope for a new toy.
horse,A1,The horse is big.
hospital,A1,I go to the hospital.
hot,A1,The soup is hot.
hotel,A1,I am in a hotel.
hour,A1,I eat lunch in one hour.
house,A1,I live in a house.
how,A1,How are you?
however,A1,"I like apples. However, I have one banana."
hundred,A1,I have one hundred apples.
hungry,A1,I am hungry.
husband,A1,My husband is a doctor.
ice,A1,The ice is cold.
idea,A1,I have a good idea for my lunch.
if,A1,"If it is hot, I drink water."
imagine,A1,I imagine a big cake.
important,A1,My family is important to me.
improve,A1,I improve my English every day.
in,A1,The book is in my bag.
include,A1,The bag includes one apple.
indefinite,A1,I have an indefinite number of apples.
infinitive,A1,I like the word infinitive.
information,A1,I have information about my family.
interest,A1,I have an interest in food.
interested,A1,I am interested in food.
interesting,A1,The book is interesting.
internet,A1,I use the internet for school.
interview,A1,I have an interview today.
into,A1,The cat goes into the box.
introduce,A1,I introduce my mother to my friend.
island,A1,The island is small.
it,A1,It is a red apple.
its,A1,The cat eats its food.
jacket,A1,I have a red jacket.
january,A1,January has thirty-one days.
jeans,A1,I wear blue jeans.
job,A1,I have a job.
join,A1,I join the club.
journey,A1,My family is on a long journey.
juice,A1,I drink juice for breakfast.
july,A1,July is a summer month.
june,A1,June is a summer month.
just,A1,I just have one apple.
keep,A1,I keep my book on the table.
key,A1,This is my key.
kilometre,A1,The school is one kilometre from my house.
kind,A1,She is a kind mother.
kitchen,A1,I am in the kitchen.
know,A1,I know my mother.
lamp,A1,I see a lamp.
land,A1,The bird is on the land.
language,A1,I learn a new language.
large,A1,The box is large.
late,A1,I am late for school.
later,A1,I eat lunch later.
laugh,A1,I laugh with my friend.
learn,A1,I learn English.
leave,A1,I leave my bag at home.
left,A1,I left my book on the table.
leg,A1,I have one leg.
lesson,A1,I have a lesson today.
let,A1,Let me help you.
letter,A1,I have a letter from my mother.
level,A1,The water level is high.
library,A1,I go to the library with my mother.
life,A1,I have a happy life.
light,A1,The light is on the table.
like,A1,I like apples.
line,A1,I draw a line on the paper.
lion,A1,The lion is big.
list,A1,I have a list of numbers.
listen,A1,I listen to my mother.
little,A1,I have a little dog.
local,A1,I eat at a local shop.
look,A1,I look at my mother.
lose,A1,I lose my pen.
lot,A1,I have a lot of apples.
love,A1,I love my mother.
lunch,A1,I eat lunch at one.
machine,A1,I have a machine.
magazine,A1,I read a magazine.
main,A1,This is my main book.
make,A1,I make a cake.
man,A1,The man is my father.
many,A1,I have many books.
map,A1,I have a map.
march,A1,We march in the park.
marker,A1,I have a red marker.
market,A1,I go to the market with my mother.
married,A1,She is married to my brother.
match,A1,I have a red match.
may,A1,I may eat an apple.
maybe,A1,Maybe I eat an apple.
me,A1,She gives me an apple.
meal,A1,I eat a meal with my family.
mean,A1,What does this word mean?
meaning,A1,What is the meaning of this word?
meat,A1,I eat meat for dinner.
meet,A1,I meet my friend.
meeting,A1,I have a meeting with my friend.
member,A1,I am a member of my family.
menu,A1,I see the menu on the table.
message,A1,I have a message for my mother.
metre,A1,The table is one metre long.
midnight,A1,I go to bed at midnight.
mile,A1,The school is one mile from my house.
milk,A1,I drink milk.
million,A1,There are one million people in the city.
miss,A1,I miss my mother.
mistake,A1,I make a mistake with the number.
model,A1,I have a model car.
modern,A1,I have a modern phone.
moment,A1,I wait for a moment.
monday,A1,I go to school on Monday.
money,A1,I have some money.
month,A1,I have one month.
more,A1,I want more rice.
morning,A1,I eat bread in the morning.
most,A1,I like milk most.
mother,A1,My mother is a teacher.
mountain,A1,The mountain is big.
mouse,A1,The mouse is small.
mouth,A1,I have a mouth.
move,A1,I move my hand.
movie,A1,I watch a movie with my family.
much,A1,I do not have much money.
mum,A1,My mum is kind.
museum,A1,I go to the museum with my family.
music,A1,I like music.
must,A1,I must go to school.
my,A1,This is my book.
name,A1,My name is Tom.
natural,A1,The water is natural.
near,A1,The cat is near the food.
need,A1,I need water.
negative,A1,I feel negative.
neighbour,A1,My neighbour has a cat.
never,A1,I never eat fish.
new,A1,I have a new book.
news,A1,I read the news on my phone.
newspaper,A1,I read a newspaper.
next,A1,The next boy is my brother.
nice,A1,The apple is nice.
night,A1,I sleep at night.
nine,A1,I have nine apples.
nineteen,A1,I am nineteen years old.
ninety,A1,I have ninety books.
no,A1,I have no apples.
nobody,A1,Nobody is in the room.
north,A1,The sun is in the north.
nose,A1,I have a nose.
not,A1,I am not hungry.
note,A1,I have a note for my mother.
nothing,A1,I have nothing in my hand.
november,A1,November has thirty days.
now,A1,I am happy now.
nurse,A1,The nurse helps my mother.
object,A1,I see an object on the table.
october,A1,October has thirty-one days.
of,A1,This is a cup of tea.
off,A1,The book is off the table.
office,A1,I go to the office.
often,A1,I often eat bread for breakfast.
oh,A1,"Oh, I see a dog."
ok,A1,I am ok.
old,A1,My grandmother is old.
on,A1,The book is on the table.
once,A1,I eat lunch once a day.
one,A1,I have one brother.
onion,A1,I eat an onion.
online,A1,I am online with my friend.
only,A1,I have only one brother.
open,A1,I open the door.
opinion,A1,My opinion is that pizza is good.
opposite,A1,The cat is opposite the dog.
or,A1,I have one apple or two.
orange,A1,I have an orange.
order,A1,I order a coffee.
other,A1,I have one other brother.
our,A1,This is our house.
out,A1,The cat is out.
outside,A1,The cat is outside.
over,A1,The cat is over the box.
own,A1,I own a red ball.
oxford,A1,I have an Oxford book.
page,A1,I read one page of my book.
paint,A1,I paint a red flower.
painting,A1,I see a painting on the wall.
pair,A1,I have one pair of shoes.
paper,A1,I have a paper.
paragraph,A1,I read a paragraph in my book.
parent,A1,My parent is at home.
park,A1,I go to the park.
part,A1,This is a part of my body.
partner,A1,My partner is my friend.
party,A1,I go to a party.
passport,A1,I have a passport.
past,A1,It is one hour past two.
pay,A1,I pay for my bread.
pen,A1,I have a blue pen.
pencil,A1,I have a pencil.
people,A1,Many people have two eyes.
pepper,A1,I eat pepper on my food.
perfect,A1,The apple is perfect.
period,A1,I have one period in math class.
person,A1,She is a nice person.
personal,A1,This is my personal book.
phone,A1,I have a phone.
photo,A1,This is a photo of my family.
photograph,A1,I look at a photograph of my family.
phrase,A1,I learn a new phrase in class.
piano,A1,I play the piano.
picture,A1,I see a picture of my family.
piece,A1,I eat a piece of bread.
pig,A1,The pig is big.
pink,A1,The flower is pink.
place,A1,The book is on the table in my place.
plan,A1,I plan my day.
plane,A1,The plane is big.
plant,A1,I water the plant.
play,A1,I play with my ball.
player,A1,The player has a ball.
pleasant,A1,The weather is pleasant today.
please,A1,Please give me a glass of water.
point,A1,This is my point.
police,A1,The police help people.
policeman,A1,The policeman is my friend.
pool,A1,The children play in the pool.
poor,A1,The poor man has no food.
popular,A1,This food is popular.
positive,A1,I am positive about my family.
possible,A1,It is possible to see the sun.
post,A1,I post a letter.
potato,A1,I eat a potato.
pound,A1,The apple costs one pound.
practice,A1,I practice the piano every day.
practise,A1,I practise my English every day.
prefer,A1,I prefer apples.
prepare,A1,I prepare food for my family.
present,A1,I present a gift to my mother.
press,A1,I press the button.
pretty,A1,The flower is pretty.
price,A1,The price is ten dollars.
probably,A1,I probably have two apples.
problem,A1,I have a problem with my hand.
product,A1,This product is good food.
programme,A1,I watch a programme on TV.
project,A1,I have a school project.
purple,A1,The apple is purple.
put,A1,I put the book on the table.
quarter,A1,I eat a quarter of the apple.
question,A1,I have a question for you.
quick,A1,The cat is quick.
quickly,A1,She eats her food quickly.
quiet,A1,The cat is quiet.
quite,A1,The food is quite good.
radio,A1,I listen to the radio.
rain,A1,It rains today.
read,A1,I read a book.
reader,A1,I am a reader.
reading,A1,I am reading a book.
ready,A1,I am ready for school.
real,A1,This is a real apple.
really,A1,I really like my dog.
reason,A1,I have one reason for my answer.
red,A1,The apple is red.
relax,A1,I relax on the bed.
remember,A1,I remember my mother.
repeat,A1,Please repeat the number.
report,A1,I report my lunch to my mom.
restaurant,A1,I eat food in a restaurant.
result,A1,The result is a number.
return,A1,I return the book to the library.
rice,A1,I eat rice for dinner.
rich,A1,My family is rich.
ride,A1,I ride my bike.
right,A1,This is my right hand.
river,A1,The river is big.
road,A1,The car is on the road.
room,A1,I have a room.
routine,A1,I have a morning routine.
rule,A1,The rule is no food in class.
run,A1,I run every day.
sad,A1,I am sad.
salad,A1,I eat a salad.
salt,A1,The salt is on the table.
same,A1,We have the same book.
sandwich,A1,I eat a sandwich for lunch.
saturday,A1,I go to school on Saturday.
say,A1,I say hello to my mother.
sb,A1,Sb is my friend.
school,A1,I go to school.
science,A1,I like science.
scientist,A1,The scientist has a book.
sea,A1,I see the sea.
section,A1,I read section one.
see,A1,I see a bird.
sell,A1,I sell apples.
send,A1,I send a letter to my mother.
sentence,A1,This is a sentence.
september,A1,September is the ninth month.
seven,A1,I have seven apples.
seventeen,A1,I am seventeen years old.
seventy,A1,I have seventy apples.
share,A1,I share my apple with my friend.
she,A1,She is my mother.
sheep,A1,The sheep is white.
shirt,A1,I have a blue shirt.
shoe,A1,I have a red shoe.
shop,A1,I go to the shop for bread.
shopping,A1,I go shopping for food.
short,A1,My pencil is short.
should,A1,You should drink water.
show,A1,I show my book to my friend.
shower,A1,I take a shower in the morning.
sick,A1,I am sick today.
similar,A1,My cat and your cat are similar.
sing,A1,I sing a song.
singer,A1,She is a singer.
sister,A1,I have a sister.
sit,A1,I sit on the chair.
situation,A1,The situation is good.
six,A1,I have six apples.
sixteen,A1,I am sixteen years old.
sixty,A1,My grandmother is sixty years old.
skill,A1,I have a skill for counting.
skirt,A1,She has a red skirt.
sleep,A1,I sleep in my bed.
slow,A1,The car is slow.
small,A1,I have a small nose.
snake,A1,The snake is long.
snow,A1,The snow is white.
so,A1,I am so happy.
some,A1,I have some apples.
somebody,A1,Somebody is in my family.
someone,A1,Someone is in the kitchen.
something,A1,I want something to eat.
sometimes,A1,I sometimes eat bread for breakfast.
son,A1,My son is five years old.
song,A1,I sing a song.
soon,A1,I will eat lunch soon.
sorry,A1,I am sorry.
sound,A1,The sound is loud.
soup,A1,I eat soup for lunch.
south,A1,The sun is in the south.
space,A1,I need space for my book.
speak,A1,I speak English.
special,A1,This is my special toy.
spell,A1,I spell my name.
spelling,A1,My spelling is good.
spend,A1,I spend one dollar on milk.
sport,A1,I play a sport with my friend.
spring,A1,I see flowers in spring.
stand,A1,I stand by the door.
star,A1,I see a star.
start,A1,I start my day with milk.
statement,A1,This is my statement.
station,A1,The train is at the station.
stay,A1,I stay at home with my mother.
sth,A1,I have sth for you.
still,A1,I am still in bed.
stop,A1,The bus will stop here.
story,A1,I read a story about a dog.
street,A1,I live on a street.
strong,A1,He is strong.
student,A1,I am a student.
study,A1,I study English.
style,A1,I like your style.
subject,A1,My favorite subject is math.
success,A1,My success is my happy family.
sugar,A1,I put sugar in my tea.
summer,A1,Summer is hot.
sun,A1,The sun is hot.
sunday,A1,I go to the park on Sunday.
supermarket,A1,I go to the supermarket for food.
sure,A1,I am sure this is my book.
sweater,A1,I have a red sweater.
swim,A1,I swim in the pool.
swimming,A1,I like swimming.
t-shirt,A1,I wear a blue t-shirt.
table,A1,The book is on the table.
take,A1,I take an apple.
talk,A1,I talk to my mother.
tall,A1,He is tall.
taxi,A1,I take a taxi to school.
tea,A1,I drink tea.
teach,A1,I teach my mother numbers.
teacher,A1,My teacher is nice.
team,A1,We are a team.
teenager,A1,The teenager has a brother.
telephone,A1,I have a telephone.
television,A1,I watch television with my family.
tell,A1,I tell my mother the story.
ten,A1,I have ten fingers.
tennis,A1,I play tennis with my friend.
terrible,A1,The food is terrible.
test,A1,I have a test today.
text,A1,I read a text.
than,A1,She is taller than me.
thank,A1,I thank my mother for the food.
thanks,A1,Thanks for the apple.
that,A1,That is my book.
the,A1,The cat is on the bed.
theatre,A1,I go to the theatre with my family.
their,A1,They have their books.
them,A1,I see them.
then,A1,I eat breakfast then I go to school.
there,A1,There is a book on the table.
they,A1,They are my friends.
thing,A1,This is my thing.
think,A1,I think my mother is kind.
third,A1,This is my third apple.
thirsty,A1,I am thirsty.
thirteen,A1,I have thirteen apples.
thirty,A1,I have thirty fingers.
this,A1,This is my book.
thousand,A1,I have one thousand books.
three,A1,I have three apples.
through,A1,I walk through the door.
thursday,A1,Thursday is my day for bread.
ticket,A1,I have a ticket.
time,A1,I have time for lunch.
tired,A1,I am tired.
title,A1,The title of my book is Red.
to,A1,I go to school.
today,A1,I eat bread today.
together,A1,We eat together.
toilet,A1,I go to the toilet.
tomato,A1,I eat a tomato.
tomorrow,A1,I will see you tomorrow.
tonight,A1,I eat dinner with my family tonight.
too,A1,This cake is too hot.
tooth,A1,I have a tooth.
topic,A1,My topic is my family.
tourist,A1,The tourist has a map.
town,A1,I live in a small town.
traffic,A1,The traffic is bad.
train,A1,I take the train to school.
travel,A1,I travel to school by bus.
tree,A1,The tree is big.
trip,A1,I take a trip to the park.
trousers,A1,I wear blue trousers.
true,A1,This is true.
try,A1,I try the cake.
tuesday,A1,Tuesday is a day.
turn,A1,I turn the page.
tv,A1,I watch tv with my family.
twelve,A1,I have twelve apples.
twenty,A1,I have twenty fingers.
twice,A1,I eat breakfast twice a day.
two,A1,I have two apples.
type,A1,I type my name.
umbrella,A1,I have an umbrella.
uncle,A1,My uncle has a car.
under,A1,The cat is under the table.
understand,A1,I understand the number.
unit,A1,I have one unit of milk.
university,A1,I go to the university.
until,A1,I wait until five.
up,A1,I get up at seven.
who,A1,Who is she?
why,A1,Why are you sad?
wife,A1,My wife is a doctor.
will,A1,I will eat an apple.
win,A1,I win the game.
window,A1,The window is big.
wine,A1,I drink wine with dinner.
winter,A1,It is cold in winter.
with,A1,I eat bread with butter.
without,A1,I drink tea without sugar.
woman,A1,The woman has a red apple.
wonderful,A1,The food is wonderful.
word,A1,I read a word in my book.
work,A1,I work in a school.
worker,A1,The worker is my father.
world,A1,The world is big.
would,A1,I would like a banana.
write,A1,I write my name.
writer,A1,She is a writer.
writing,A1,I am writing my name.
wrong,A1,This answer is wrong.
yeah,A1,"Yeah, I like milk."
year,A1,I am seven years old.
yellow,A1,The sun is yellow.
yes,A1,"Yes, I have one brother."
yesterday,A1,I ate bread yesterday.
you,A1,You are my friend.
young,A1,The boy is young.
your,A1,This is your book.
yourself,A1,You see yourself in the mirror.
ability,A2,He showed his ability to cook dinner because his parents were busy.
able,A2,Yesterday I was able to buy the tickets because I had enough money.
abroad,A2,He went abroad last summer because he wanted to visit his cousin.
academic,A2,He chose an academic book from the library because he wanted to learn about history.
accept,A2,She accepted the gift because it was from her best friend.
access,A2,Yesterday I could not access my online bank account because I forgot my password.
accident,A2,He had an accident in the kitchen because he dropped a glass.
accommodation,A2,We booked our accommodation near the beach because we wanted to swim every day.
according,A2,"According to the map, the shop was on the left, and we walked there because it was near the station."
account,A2,She closed her bank account because she moved to a new city.
achieve,A2,She worked hard and achieved her goal of buying a new bicycle.
achievement,A2,My biggest achievement last year was learning to cook three new dishes because I wanted to eat healthier.
act,A2,He acted in the school play last year because he loved being on stage.
active,A2,Yesterday I was very active because I played football with my friends in the park.
actually,A2,I actually went to the supermarket yesterday because I needed milk and bread.
